Institution,main_office,branch_name,branch_number,established_date,street_address,City,County,State,Zipcode,2010_Deposits,2011_Deposits,2012_Deposits,2013_Deposits,2014_Deposits,2015_Deposits,2016_Deposits,row_num
JPM Chase Bank,0,Downtown Dallas Branch,1383,1964-06-08,2200 Ross Avenue,Dallas,Dallas,TX,75201,197953,199900,212329,231759,251186,289743,317153,1
JPM Chase Bank,0,Downtown Flushing Branch,113,1906-01-29,39-01 Main Street,Flushing,Queens,NY,11354,488717,553758,665005,819541,984053,1101585,1246785,1
JPM Chase Bank,0,Downtown Forth Worth Branch,2326,1988-02-05,420 Throckmorton,Fort Worth,Tarrant,TX,76102,1551142,1481645,1741983,1644310,1694211,1633979,1713253,1
JPM Chase Bank,0,Downtown Fredericksburg Branch,2349,1932-01-01,150 East Main Street,Fredericksburg,Gillespie,TX,78624,146843,166139,169046,179507,190444,203603,212776,1
JPM Chase Bank,0,Downtown Kalamazoo Branch,2826,1979-04-12,141 East Michigan Avenue,Kalamazoo,Kalamazoo,MI,49007,45305,35448,34101,24520,30220,45398,47831,1
JPM Chase Bank,0,Downtown Main Milwaukee Branch,2852,1901-09-01,111 East Wisconsin Avenue,Milwaukee,Milwaukee,WI,53202,2305660,3110446,3332864,3541565,3420665,3986938,3626444,1
JPM Chase Bank,0,Downtown Marion Branch,1696,1839-01-01,165 West Center Street,Marion,Marion,OH,43302,31520,31170,33271,35715,36970,38889,40645,1
JPM Chase Bank,0,Downtown Mini Branch,1811,1992-06-08,613 Virginia St. East,Charleston,Kanawha,WV,25301,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drayton Plains Branch,2703,1954-07-07,4750 Dixie Highway,Waterford,Oakland,MI,48329,73674,76765,86738,89574,96226,101737,114807,1
JPM Chase Bank,0,Dresden Branch,1684,1931-10-01,812 Main Street,Dresden,Muskingum,OH,43821,13310,11277,11512,12129,11823,13776,13366,1
JPM Chase Bank,0,Drive-In Branch,2362,1989-07-20,312 West Woodard,Denison,Grayson,TX,75020,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-In Branch,2363,1989-07-20,700 Harrison,Amarillo,Potter,TX,79101,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-In Facility Branch,1326,1973-09-14,5207 Airline Drive,Houston,Harris,TX,77022,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-In Facility Branch,2224,1974-10-03,2902 North Belt Line Road,Irving,Dallas,TX,75062,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-In Facility Branch,2268,1973-04-24,3800 East 42nd Street,Odessa,Ector,TX,79760,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-In Facility Branch,2358,1978-09-07,2301 West Missouri Street,Midland,Midland,TX,79701,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drive-Thru Facility Branch,1407,1976-03-02,12875 Josey Lane,Farmers Branch,Dallas,TX,75234,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Drusilla Branch,2067,1972-11-17,3428 Drusilla Lane,Baton Rouge,East Baton Rouge,LA,70809,70689,73944,78406,83616,85925,91956,95180,1
JPM Chase Bank,0,Dublin Branch,1542,1979-10-02,6275 Frantz Road,Dublin,Franklin,OH,43017,100973,112232,120364,140230,149649,201850,182229,1
JPM Chase Bank,0,Dublin Village Retirement Center Br,1571,1994-08-16,6470 Post Road,Dublin,Franklin,OH,43016,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Dunbar Banking Center Branch,2383,1995-03-20,6040 Ramey Ave,Fort Worth,Tarrant,TX,76112,15884,19466,19912,22096,22109,21480,27776,1
JPM Chase Bank,0,Duncanville Branch,2347,1961-06-01,303 South Main Street,Duncanville,Dallas,TX,75116,105330,108635,115076,123975,126893,131711,148201,1
JPM Chase Bank,0,Dunham Branch,1911,1976-09-29,520 Dunham Road,St. Charles,Kane,IL,60174,109449,122446,139944,158406,168712,185736,199986,1
JPM Chase Bank,0,Dyckman Street Branch,805,1800-01-01,161 Dyckman Street,New York City,New York,NY,10040,108837,106662,113988,120496,117747,122689,125791,1
JPM Chase Bank,0,Dye Corunna Branch,2758,1962-12-07,5312 Corunna Road,Flint,Genesee,MI,48532,93474,100390,111957,112022,117491,128346,126792,1
JPM Chase Bank,0,Dyer Branch,3030,1949-02-21,799 Joliet Street,Dyer,Lake,IN,46311,46038,43954,52678,55330,62219,66872,73946,1
JPM Chase Bank,0,E 70th Shreveport Branch,2048,1877-07-02,322 East 70th Street,Shreveport,Caddo,LA,71106,16311,17072,17365,18195,19442,19173,39886,1
JPM Chase Bank,0,E 7th St and Robert Martinez Branch,2382,1995-03-18,2119 East Seventh Street,Austin,Travis,TX,78702,16508,17928,21407,27206,35867,41225,49522,1
JPM Chase Bank,0,Eagle Branch,2865,1947-03-24,111 West Main Street,Eagle,Waukesha,WI,53119,17025,17025,18855,20552,23701,23818,26399,1
JPM Chase Bank,0,Eagle Highlands Banking Ctr. Branch,2952,1980-06-26,6910 West 38th Street,Indianapolis,Marion,IN,46254,96862,101455,109943,113502,117761,120327,129536,1
JPM Chase Bank,0,East 39th South Branch,2596,1973-11-19,1285 East 3900 South,Salt Lake City,Salt Lake,UT,84124,43848,42578,44405,49700,50160,55138,67138,1
JPM Chase Bank,0,East 80 Branch,2056,1966-03-30,4699 Highway 80 East,Haughton,Bossier,LA,71037,29550,32970,32873,32890,33578,34013,35511,1
JPM Chase Bank,0,East Bay Branch,2608,1990-04-30,1177 South University Avenue,Provo,Utah,UT,84601,17223,19675,25991,43549,44623,50758,53603,1
JPM Chase Bank,0,East Bay View Branch,2823,1973-08-06,1211 US Highway 31 North,Petoskey,Emmet,MI,49770,20634,22037,21177,23584,26338,25469,28652,1
JPM Chase Bank,0,East Branch,3156,1991-12-06,200 South Dirksen Parkway,Springfield,Sangamon,IL,62703,27338,29176,31311,34608,36832,38282,41332,1
JPM Chase Bank,0,East Broad Branch,1525,1959-11-16,3200 East Broad Street,Columbus,Franklin,OH,43209,65705,71021,79951,86993,87140,87771,90908,1
JPM Chase Bank,0,East Dayton Branch,1748,1814-01-01,2000 East Third Street,Dayton,Montgomery,OH,45403,32264,29534,30122,31748,32789,34057,33577,1
JPM Chase Bank,0,East End Branch,38,1961-05-22,1495 York Avenue,New York City,New York,NY,10075,299301,306225,317068,359173,410737,425169,447613,1
JPM Chase Bank,0,East Farmingdale Branch,239,1971-04-28,1745 Broad Hollow Road,East Farmingdale,Suffolk,NY,11735,62842,95038,89987,122210,151270,132133,186493,1
JPM Chase Bank,0,East Flagstaff Branch,2585,2001-06-11,4830 North Highway 89,Flagstaff,Coconino,AZ,86004,61027,58812,63891,70882,74179,76963,78471,1
JPM Chase Bank,0,East Flushing Branch,165,1973-06-08,196-03 Northern Boulevard,Flushing,Queens,NY,11358,82032,90628,96660,106917,115674,121256,130731,1
JPM Chase Bank,0,East Gause Branch,2154,1989-12-18,1943 East Gause Boulevard,Slidell,St. Tammany,LA,70461,71257,70924,76926,80909,95638,96702,92673,1
JPM Chase Bank,0,East Highland Branch,2704,1964-05-01,2886 East Highland Road,Highland,Oakland,MI,48356,60582,65125,68515,72468,73233,77917,86249,1
JPM Chase Bank,0,East Hills Branch,872,1974-12-27,425 Glen Cove Road,Roslyn Heights,Nassau,NY,11577,219554,217106,219577,230278,225396,232103,260070,1
JPM Chase Bank,0,East Lakeview Branch,1883,1989-11-06,3032 North Clark Street,Chicago,Cook,IL,60657,349327,392817,415294,461137,490705,544147,596384,1
JPM Chase Bank,0,East Meadow Branch,1017,1972-03-22,2469 Hempstead Turnpike,East Meadow,Nassau,NY,11554,302678,302834,318596,328939,336297,344577,357813,1
JPM Chase Bank,0,East Murray Branch,2592,1963-01-28,5565 South 900 East,Salt Lake City,Salt Lake,UT,84117,63271,65644,65767,74969,73274,69648,74914,1
JPM Chase Bank,0,East New York Street Branch,3010,1948-08-09,3000 East New York Street,Indianapolis,Marion,IN,46201,11157,12591,13970,13266,13415,12554,14322,1
JPM Chase Bank,0,East Northportlarkfield Rd Branch,186,1950-11-04,271 Larkfield Road,East Northport,Suffolk,NY,11731,112628,113621,113899,121359,128286,129058,135773,1
JPM Chase Bank,0,East Rochester Fairport Road Branch,1068,1962-12-13,865 Fairport Road,East Rochester,Monroe,NY,14445,31202,34194,41305,46152,49675,52344,55885,1
JPM Chase Bank,0,East Side Branch,2084,1962-07-09,573 Grand Caillou Road,Houma,Terrebonne,LA,70363,33869,36068,36223,39345,39814,42898,41344,1
JPM Chase Bank,0,East Side Branch,2935,1948-03-18,4710 East 10th Street,Indianapolis,Marion,IN,46201,36417,36653,38458,38426,39712,42175,46686,1
JPM Chase Bank,0,East State Boulevard Branch,3064,1962-12-10,3101 East State Boulevard,Fort Wayne,Allen,IN,46805,44213,41955,41540,44565,56438,49061,51668,1
JPM Chase Bank,0,East Towne Branch,2922,1969-05-15,4225 East Towne Boulevard,Madison,Dane,WI,53704,35971,41649,48948,55542,59022,65046,69369,1
JPM Chase Bank,0,East Waukesha Branch,2871,1969-01-27,2402 East Moreland Boulevard,Waukesha,Waukesha,WI,53186,62558,67728,78847,93520,100658,112495,126153,1
JPM Chase Bank,0,Eastchester Branch,975,1947-08-12,360 White Plains Road,Eastchester,Westchester,NY,10709,141070,145380,153429,167881,183916,197583,210600,1
JPM Chase Bank,0,Eastern By Pass Branch,3236,1974-08-26,405 Leighway Drive,Richmond,Madison,KY,40475,43951,46111,50020,57908,61640,62848,66524,1
JPM Chase Bank,0,Eastern Market Branch,2632,1933-03-24,2941 Russell Street,Detroit,Wayne,MI,48207,10723,14050,15557,16072,19438,18757,19038,1
JPM Chase Bank,0,Eastgate Branch,3017,1957-05-10,601 North Shadeland Avenue,Indianapolis,Marion,IN,46219,53763,55204,59012,59682,60309,59874,60767,1
JPM Chase Bank,0,Eastgate Wyler Park Branch,1708,1989-10-02,867 Wyler Park Drive,Cincinnati,Clermont,OH,45245,40247,42383,42972,46816,50204,51227,75254,1
JPM Chase Bank,0,Eastlake-Vine Branch,1581,1973-05-31,"35400 Vine Street, Suite A",Eastlake,Lake,OH,44095,41032,39649,52282,45921,48086,50013,53832,1
JPM Chase Bank,0,Eastland Hamilton Branch,1532,1968-02-05,2475 South Hamilton Road,Columbus,Franklin,OH,43232,40576,39709,41868,44072,45124,47721,51993,1
JPM Chase Bank,0,Eastland Third Street Branch,2973,1965-08-19,2642 East Third Street,Bloomington,Monroe,IN,47401,92223,101148,119698,140417,169834,185062,220604,1
JPM Chase Bank,0,Eastland Winchester Branch,3239,1957-03-19,"1301 Winchester Road, Ste 265",Lexington,Fayette,KY,40505,38982,38791,38091,39246,40558,46080,48052,1
JPM Chase Bank,0,Easton Branch,1640,1972-12-14,"6336 Middlebranch Avenue, N.E.",Canton,Stark,OH,44721,25978,27397,30651,32057,36222,35159,38613,1
JPM Chase Bank,0,Eastside Branch,2043,1979-05-17,111 Old Bastrop Road,Monroe,Ouachita,LA,71203,18979,19742,20763,22537,23964,25363,27790,1
JPM Chase Bank,0,Eastside Branch,2920,1986-11-17,1201 North Wright Road,Janesville,Rock,WI,53546,24416,25971,29774,31226,33669,37212,42705,1
JPM Chase Bank,0,Eastway Branch,1067,1959-03-02,1950 Empire Boulevard,Webster,Monroe,NY,14580,47365,52355,58092,61729,63801,70915,80885,1
JPM Chase Bank,0,Eastwood Mall Branch,1674,1970-04-13,5555 Youngstown Warren Road,Niles,Trumbull,OH,44446,25263,27426,30770,33408,36154,62327,61327,1
JPM Chase Bank,0,Eaton Branch,1773,1980-09-04,1311 North Barron Street,Eaton,Preble,OH,45320,31077,31556,31031,31426,33403,34730,36313,1
JPM Chase Bank,0,Edgebrook Branch,2254,1964-06-24,1155 Edgebrook Drive,Houston,Harris,TX,77034,57480,59443,62621,72034,71669,79559,81808,1
JPM Chase Bank,0,Edgerton Branch,2918,1897-01-01,111 North Main Street,Edgerton,Rock,WI,53534,40301,40500,41781,43617,45287,47933,51345,1
JPM Chase Bank,0,Edgewood Drive Branch,2197,1975-01-20,3099 Highway 28 East,Pineville,Rapides,LA,71360,37375,37090,40695,43664,43706,45321,48711,1
JPM Chase Bank,0,Edmond Central Drive-Up Branch,3318,2002-07-01,25 East Second St,Edmond,Oklahoma,OK,73034,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Edmond Rd and Santa Fe Branch,3273,1984-03-22,2307 W. Edmond Road,Edmond,Oklahoma,OK,73003,51704,52705,59219,76288,77261,89524,97937,1
JPM Chase Bank,0,El Dorado Blvd Branch,2313,1983-07-01,1904 El Dorado Boulevard,Houston,Harris,TX,77062,66538,68980,80680,83907,83522,96030,96922,1
JPM Chase Bank,0,El Paso - Downtown Branch,1428,1925-06-29,501 North Mesa Street,El Paso,El Paso,TX,79901,487522,513252,527654,579701,500183,506428,469681,1
JPM Chase Bank,0,El Paso - East Branch,1434,1981-11-02,1533 Lee Trevino Drive,El Paso,El Paso,TX,79936,91822,93574,104853,112733,116509,111567,127421,1
JPM Chase Bank,0,El Paso - West Branch,1435,1980-06-02,7598 North Mesa,El Paso,El Paso,TX,79912,91428,102759,113141,127943,135129,143577,148347,1
JPM Chase Bank,0,Eldorado and 75 Branch,3342,2003-10-15,2091 Eldorado Parkway,Mckinney,Collin,TX,75070,25171,22328,26614,31955,33511,31881,36190,1
JPM Chase Bank,0,Eldridge Parkway Branch,1344,1983-01-03,1490 Eldridge Parkway,Houston,Harris,TX,77077,194525,211452,255276,279352,312001,362903,358264,1
JPM Chase Bank,0,Elgin Branch,1938,1996-07-20,24 East Chicago Street,Elgin,Kane,IL,60120,51460,51511,53444,54933,51865,56077,56993,1
JPM Chase Bank,0,Elgin Randall Rd Branch,1915,1993-11-15,270 South Randall Road,Elgin,Kane,IL,60123,113733,127705,134049,147746,156199,168393,189020,1
JPM Chase Bank,0,Elizabethtown Main Branch,3222,1975-12-15,1200 North Dixie Highway,Elizabethtown,Hardin,KY,42701,52690,57971,55227,57542,57997,67740,73349,1
JPM Chase Bank,0,Elk Grove Town Center Branch,2007,1998-05-12,940 Elk Grove Town Center,Elk Grove Village,Cook,IL,60007,38880,46973,57443,65691,72882,76312,81241,1
JPM Chase Bank,0,Elk Grove Village-Higgins Rd Branch,1961,1988-01-01,100 East Higgins Road,Elk Grove Village,Cook,IL,60007,131591,143403,151132,164021,173159,187114,208434,1
JPM Chase Bank,0,Elkhart Main Branch,2996,1872-02-25,121 West Franklin Street,Elkhart,Elkhart,IN,46516,418170,289256,292448,347353,286391,444458,503690,1
JPM Chase Bank,0,Elkhorn Main Office Branch,2906,1865-03-09,38 North Washington Street,Elkhorn,Walworth,WI,53121,63111,67989,75009,76451,83882,90045,90557,1
JPM Chase Bank,0,Elkview Branch,1809,1985-01-15,558 Railroad Ave,Elkview,Kanawha,WV,25071,25963,25579,25068,26196,26596,26013,44509,1
JPM Chase Bank,0,Ellettsville Branch,2976,1983-02-01,4141 West State Road 46,Bloomington,Monroe,IN,47402,16457,18524,20281,23879,23378,24708,25579,1
JPM Chase Bank,0,Elm Road Branch,1783,1998-11-13,3394 Elm Road Ne,Warren,Trumbull,OH,44484,45305,46321,49401,55753,60887,63409,65727,1
JPM Chase Bank,0,Elmbrook Branch,2872,1962-12-17,2255 Calhoun Road,Brookfield,Waukesha,WI,53005,78437,87150,102144,119436,133107,142844,163181,1
JPM Chase Bank,0,Elmhurst York Branch,1865,1934-05-01,163 North York Road,Elmhurst,DuPage,IL,60126,125043,133024,147976,166249,179323,196953,218508,1
JPM Chase Bank,0,Elmsford Branch,138,1967-05-13,324 Saw Mill River Road,Elmsford,Westchester,NY,10523,69960,82378,75417,100752,117726,174351,115819,1
JPM Chase Bank,0,Elmwood Branch,2148,1988-07-05,950 South Clearview Parkway,Harahan,Jefferson,LA,70123,150388,160726,168722,177476,189345,184851,192860,1
JPM Chase Bank,0,Empire Boulevard Branch,779,1800-01-01,1000 Nostrand Avenue,Brooklyn,Kings,NY,11225,70312,68610,81205,92524,104539,123165,136518,1
JPM Chase Bank,0,Empire State Branch,85,1924-04-01,349 Fifth Avenue and 34th Street,New York City,New York,NY,10016,666584,655384,733993,833534,890817,7099781,15580897,1
JPM Chase Bank,0,Englewood Branch,1512,2004-03-28,55 West Palisades Avenue,Englewood,Bergen,NJ,7631,40229,37762,35798,41118,45124,45436,46421,1
JPM Chase Bank,0,Englewood Hampden Branch,3088,1910-12-20,333 West Hampden Avenue,Englewood,Arapahoe,CO,80110,109101,116638,117142,117914,117671,144800,156310,1
JPM Chase Bank,0,Englewood Taywood Branch,1767,1979-08-09,604 Taywood Road,Englewood,Montgomery,OH,45322,41898,43776,46727,49697,49871,50707,54322,1
JPM Chase Bank,0,Essen Lanealbertsons Branch,2208,1991-11-18,7515 Perkins Road,Baton Rouge,East Baton Rouge,LA,70808,19987,20840,22515,27497,31675,31334,33963,1
JPM Chase Bank,0,Euclid Lakeshore Branch,1587,1927-01-01,22818 Lake Shore Boulevard,Euclid,Cuyahoga,OH,44123,28814,30001,30306,32502,34507,35649,36952,1
JPM Chase Bank,0,Euless Boulevard Branch,2237,1971-01-08,1010 West Euless Boulevard,Euless,Tarrant,TX,76040,75636,77550,87640,101229,127354,144723,150295,1
JPM Chase Bank,0,Evanston-Grove Branch,2020,1970-12-01,901 Grove Street,Evanston,Cook,IL,60201,54168,58191,64719,72801,93439,97980,109191,1
JPM Chase Bank,0,Evergreen Square Krogers Branch,3174,1997-02-15,801 West Lake Street,Peoria,Peoria,IL,61614,7032,8480,10280,12077,14160,15285,17046,1
JPM Chase Bank,0,Everman Branch,2300,1963-07-25,1000 Everman Road,Fort Worth,Tarrant,TX,76140,73951,73083,77082,80483,81662,83213,88587,1
JPM Chase Bank,0,Exchange Park Branch,2345,1945-12-15,6300 Harry Hines Boulevard,Dallas,Dallas,TX,75235,65120,66973,74868,83245,90379,96719,114750,1
JPM Chase Bank,0,Exxon Building Branch,105,1959-09-09,1251 Avenue Of The Americas,New York City,New York,NY,10020,1633290,1755963,1915696,1999711,2004986,2008347,2072137,1
JPM Chase Bank,0,Fairborn Branch,1770,1979-12-06,260 East Dayton-Yellow Springs Road,Fairborn,Greene,OH,45324,46037,47022,49153,49823,50345,50475,54175,1
JPM Chase Bank,0,Fairfield Branch,1719,1985-06-30,5200 Pleasant Avenue,Fairfield,Butler,OH,45014,28257,29856,33295,35413,37550,40689,45014,1
JPM Chase Bank,0,Fairfield Center Branch,1142,1937-06-01,1401 Post Road,Fairfield,Fairfield,CT,6824,210069,260132,286163,275514,262630,249255,271962,1
JPM Chase Bank,0,Fairfield Commons Branch,1781,1996-06-22,2687 Fairfield Commons,Beavercreek,Greene,OH,45431,34704,42684,51471,56840,60086,65490,77282,1
JPM Chase Bank,0,Fairfield Corp Ctr Middle Mkt Branch,1479,2000-10-09,695 Route 46 West,Fairfield,Essex,NJ,7004,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Fairfield Woods Branch,1149,1969-03-15,2272 Black Rock Turnpike,Fairfield,Fairfield,CT,6825,109559,113381,118833,122273,123641,130116,142158,1
JPM Chase Bank,0,Fairmount Branch,1041,1964-07-27,3508 West Genesee Street,Syracuse,Onondaga,NY,13219,43192,45424,50703,55732,59616,62205,63614,1
JPM Chase Bank,0,Fairplain Plaza Branch,2785,1958-06-18,1088 East Napier Avenue,Benton Harbor,Berrien,MI,49022,20308,21458,24763,25421,28080,30059,30187,1
JPM Chase Bank,0,Far Hills Avenue Branch,1756,1951-05-14,2800 Far Hills Avenue,Dayton,Montgomery,OH,45419,110753,117600,131117,138513,144975,150413,174015,1
JPM Chase Bank,0,Far Rockaway Branch,112,1931-10-05,1912 Mott Avenue,Far Rockaway,Queens,NY,11691,41599,41935,41661,46938,48890,51464,52268,1
JPM Chase Bank,0,Farmers Branch,1406,1961-09-15,12897 Josey Lane,Farmers Branch,Dallas,TX,75234,105739,108309,117762,119571,126605,133240,139779,1
JPM Chase Bank,0,Farmington Branch,2642,1962-07-23,23309 Farmington Road,Farmington,Oakland,MI,48336,155355,164331,181053,202912,212449,223092,240032,1
JPM Chase Bank,0,Fashion Place Branch,2587,1958-01-27,6255 South State Street,Murray,Salt Lake,UT,84107,53602,52867,61715,92540,95601,94648,129953,1
JPM Chase Bank,0,Fenton Branch,2770,1978-07-11,14206 Fenton Road,Fenton,Genesee,MI,48430,39306,41551,44626,48722,47586,52617,60115,1
JPM Chase Bank,0,Findlay East Branch,1739,1889-01-01,1917 Tiffin Avenue,Findlay,Hancock,OH,45840,32055,33344,35000,50904,47752,41608,47834,1
JPM Chase Bank,0,Findlay Main Branch,1746,1912-01-01,500 South Main Street,Findlay,Hancock,OH,45840,59290,61028,64309,70672,71839,78152,81456,1
JPM Chase Bank,0,Findlay North Branch,1743,1989-06-30,1971 Broad Avenue,Findlay,Hancock,OH,45840,17300,21076,23145,31104,33551,38328,38288,1
JPM Chase Bank,0,Findlay West Branch,1745,1885-01-01,300 West Main Cross,Findlay,Hancock,OH,45840,0,0,0,0,0,0,0,1
JPM Chase Bank,0,First Ave and 44th St Branch,800,1953-12-14,1 United Nations Plaza,New York City,New York,NY,10017,1049068,662093,663589,668676,604426,576754,575874,1
JPM Chase Bank,0,First Avenue & 72nd Street Branch,41,1964-06-15,360 East 72nd Street,New York City,New York,NY,10021,384454,364852,387515,440753,500574,483835,536219,1
JPM Chase Bank,0,First Colony Branch,2360,1971-10-13,2455 Highway 6,Sugar Land,Fort Bend,TX,77478,131367,137668,155964,181948,192983,202338,228662,1
JPM Chase Bank,0,First St Beach Branch,2746,1872-01-01,210 W First St,Flint,Genesee,MI,48502,50633,49978,55675,52203,63625,121281,129845,1
JPM Chase Bank,0,First State Branch,1432,1948-05-06,2829 Montana Avenue,El Paso,El Paso,TX,79903,66090,65980,70390,71496,74823,72810,73127,1
JPM Chase Bank,0,First Street Beach Branch,2755,1957-07-01,210 West First Street,Flint,Genesee,MI,48502,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Fishers Banking Center Branch,2966,1991-09-23,11433 Allisonville Road,Fishers,Hamilton,IN,46038,50486,55812,59518,66331,73452,76665,81369,1
JPM Chase Bank,0,Fit Seventh Avenue Branch,86,1929-09-17,305 Seventh Avenue,New York City,New York,NY,10001,270220,289307,336648,359183,389188,400925,491408,1
JPM Chase Bank,0,Flagstaff Downtown Branch,2459,1969-08-25,100 West Birch Street,Flagstaff,Coconino,AZ,86001,80519,73648,66985,68607,68185,69818,70492,1
JPM Chase Bank,0,Flagstaff Milton Road Branch,2455,1968-08-12,1484 South Milton Road,Flagstaff,Coconino,AZ,86001,48725,52716,59111,67703,74788,86048,94730,1
JPM Chase Bank,0,Flatbush Branch,491,1812-01-01,883 Flatbush Avenue,Brooklyn,Kings,NY,11226,117655,127056,133409,153540,159055,171222,194198,1
JPM Chase Bank,0,Flatlands Branch,493,1926-09-01,1987 Flatbush Avenue,Brooklyn,Kings,NY,11234,126379,114066,108546,108997,109926,123330,142094,1
JPM Chase Bank,0,Fleetwood Branch,761,1964-05-23,511 Gramatan Avenue,Mount Vernon,Westchester,NY,10552,161271,157404,169541,186230,193356,186928,197466,1
JPM Chase Bank,0,Florham Park Branch,1200,1956-06-25,186 Ridgedale Avenue,Florham Park,Morris,NJ,7932,100140,104419,110747,127155,128940,130612,139909,1
JPM Chase Bank,0,Florida Boulevard Branch,2202,1962-01-23,7474 Florida Boulevard,Baton Rouge,East Baton Rouge,LA,70806,30358,28862,30453,30104,32179,33897,35047,1
JPM Chase Bank,0,Flower Mound Branch,3320,2002-07-11,2051 Long Prairie Rd,Flower Mound,Denton,TX,75022,115348,120352,128100,148696,167961,189396,214036,1
JPM Chase Bank,0,Flushing Avenue Branch,507,1927-04-04,210 Flushing Avenue,Brooklyn,Kings,NY,11205,42574,47263,47002,55036,71490,71364,77548,1
JPM Chase Bank,0,Flushing Branch,2759,1959-01-02,124 South Cherry Street,Flushing,Genesee,MI,48433,45265,43779,45045,45720,46826,48074,51477,1
JPM Chase Bank,0,Flushing Point Branch,2760,1966-02-23,6481 Pierson Road,Flushing,Genesee,MI,48433,66985,72756,77625,81517,84213,88654,97572,1
JPM Chase Bank,0,Fond Du Lac Main Office Branch,2881,1902-01-01,8 South Main Street,Fond Du Lac,Fond du Lac,WI,54935,32264,32588,34777,38558,64982,65242,71102,1
JPM Chase Bank,0,Fondren Banking Branch,2352,1974-03-26,8515 Fondren Road,Houston,Harris,TX,77074,60585,62493,63889,67689,71109,69997,73233,1
JPM Chase Bank,0,Fondren South Branch,1366,1975-01-29,6671 West Bellfort,Houston,Harris,TX,77035,38704,37835,38882,44268,46546,50341,57278,1
JPM Chase Bank,0,Foothill Branch,2598,1977-07-11,1285 South 2100 East,Salt Lake City,Salt Lake,UT,84108,45906,46727,47380,48738,64611,66067,78746,1
JPM Chase Bank,0,Ford Road-Canton Center Branch,2685,1972-05-26,45345 West Ford Road,Canton,Wayne,MI,48187,137881,150364,165237,196922,211139,257518,286016,1
JPM Chase Bank,0,Ford Road-Outer Drive Branch,2621,1960-12-05,23210 Ford Road,Dearborn Heights,Wayne,MI,48127,98958,109403,122108,145699,157586,173646,188795,1
JPM Chase Bank,0,Ford-Steadman Branch,2701,1979-12-20,14901 Ford Road,Dearborn,Wayne,MI,48126,47055,56421,66071,73448,83848,87861,96016,1
JPM Chase Bank,0,Foreign Exchange Banking Ctr. Branch,2130,1997-12-19,12351 Industriplex Bouelvard,Baton Rouge,East Baton Rouge,LA,70809,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Forest Avenue Livermore Branch,136,1966-11-12,1480 Forest Avenue,Staten Island,Richmond,NY,10302,102440,103511,108168,167418,174257,195843,217998,1
JPM Chase Bank,0,Forest Hill Branch,1415,1974-01-07,3217 California Parkway,Fort Worth,Tarrant,TX,76119,45642,47846,53135,57493,61978,61862,70149,1
JPM Chase Bank,0,Forest Hills 71st Ave Branch,114,1922-01-02,107-36 71st Avenue,Forest Hills,Queens,NY,11375,369462,377148,398091,436707,469300,502087,520197,1
JPM Chase Bank,0,Forest Hills Cascade Branch,2810,1968-08-26,"4717 Cascade Road, S.E.",Grand Rapids,Kent,MI,49546,48357,48692,49079,58599,64119,70231,81704,1
JPM Chase Bank,0,Forest Park Branch,1531,1966-05-16,1325 East Dublin-Granville Road,Columbus,Franklin,OH,43229,50873,45018,50842,52886,56015,57688,57937,1
JPM Chase Bank,0,Forest Park Cincinnati Branch,1709,1934-08-01,633 Northland Boulevard,Cincinnati,Hamilton,OH,45240,17173,17338,19491,18705,21174,21990,22964,1
JPM Chase Bank,0,Forsythe Branch,2192,1982-11-29,2211 Forsythe Avenue,Monroe,Ouachita,LA,71201,37122,37728,37908,41658,43914,48023,51499,1
JPM Chase Bank,0,Fort Collins Branch,3111,1962-11-30,2000 South College Avenue,Fort Collins,Larimer,CO,80525,69387,71243,80512,84695,91091,104212,116847,1
JPM Chase Bank,0,Fort Gratiot Branch,2726,1978-03-13,4512 24th Avenue,Fort Gratiot,St. Clair,MI,48059,85000,91372,96538,97075,99214,110257,124186,1
JPM Chase Bank,0,Fort Junction Branch,2628,1933-03-24,5460 West Fort Street,Detroit,Wayne,MI,48209,28911,30498,31274,30132,31687,32551,35487,1
JPM Chase Bank,0,Fort Lee Branch,1233,1994-11-30,188-190 Main Street,Fort Lee,Bergen,NJ,7024,193690,235424,227850,251566,268848,281802,331177,1
JPM Chase Bank,0,Fort Salonga Branch,284,1974-05-31,2 Fort Salonga Road,Fort Salonga,Suffolk,NY,11768,87282,72358,88157,101644,102771,104226,132302,1
JPM Chase Bank,0,Fort Street Branch,2720,1976-10-28,600 Fort Street,Port Huron,St. Clair,MI,48060,170202,212960,213657,203034,171542,140714,136254,1
